,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1100050485-cofico-campillo-1008-depto-en-alquiler-_JM,Cofico - Campillo 1008 - Depto En Alquiler,Departamento,20000.0,ARS,80,-1
1,2021_10_25,-31.793861,-64.50352,https://departamento.mercadolibre.com.ar/MLA-1100089328-lago-los-molinos-1-dorm-2-piscinas-balcon-asador-vista-_JM,Lago Los Molinos  1 Dorm. 2 Piscinas Balcon  Asador Vista,Departamento,4500.0,ARS,2500,2
2,2021_10_25,-31.41147,-64.18835,https://departamento.mercadolibre.com.ar/MLA-1100217643-departamento-en-el-centro-de-cordoba-recien-renovado-_JM,Departamento En El Centro De Cordoba Recien Renovado,Departamento,2900.0,ARS,35,2
3,2021_10_25,-31.423096,-64.18743,https://departamento.mercadolibre.com.ar/MLA-1100385654-alquilo-dpto-en-tanti-p-23-personas-_JM,Alquilo Dpto En Tanti P-2/3 Personas ,Departamento,2000.0,ARS,700,2
4,2021_10_25,-31.422274,-64.204506,https://departamento.mercadolibre.com.ar/MLA-1100456341-alquilo-monoambiente-4-ext-balcon-av-pueyrredon-1200-_JM,Alquilo  Monoambiente 4  Ext Balcón  Av. Pueyrredón 1200,Departamento,17000.0,ARS,53,1
5,2021_10_25,-31.41917,-64.494156,https://departamento.mercadolibre.com.ar/MLA-1100483642-hermoso-dpto-centrico-a-estrenar-_JM,Hermoso Dpto Céntrico A Estrenar,Departamento,4000.0,ARS,80,3
6,2021_10_25,-31.424543,-64.17655,https://departamento.mercadolibre.com.ar/MLA-1100608948-1-dorm-nueva-cordoba-trejo-y-ambrosio-olmos-_JM,1 Dorm - Nueva Cordoba - Trejo Y Ambrosio Olmos,Departamento,17000.0,ARS,48,2
7,2021_10_25,-31.41122,-64.19171,https://departamento.mercadolibre.com.ar/MLA-1100814082-barrio-centro-departamento-_JM,Barrio Centro! Departamento,Departamento,13500.0,ARS,50,7
8,2021_10_25,-31.951122,-64.55811,https://departamento.mercadolibre.com.ar/MLA-1100906454-4-departamentos-excelente-estado-venta-dueno-directo-_JM,4 Departamentos Excelente Estado (venta Dueño Directo),Departamento,125000.0,USD,450,10
9,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1101018139-sobre-canada-frente-con-balcon-honorarios-hasta-en-12-cuotas-_JM,"Sobre Cañada, Frente Con Balcón - Honorarios Hasta En 12 Cuotas",Departamento,16800.0,ARS,38,2
10,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1101033169-1-dorm-a-mts-plaza-velez-sarsfield-nueva-cordoba--_JM,1 Dorm A Mts Plaza Velez Sarsfield - Nueva Córdoba -,Departamento,15900.0,ARS,35,-1
11,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1101324765-departamento-en-alquiler-barrio-guemes-un-dormitorio-_JM,"Departamento En Alquiler, Barrio Güemes, Un Dormitorio",Departamento,18000.0,ARS,45,2
12,2021_10_25,-31.414385,-64.196556,https://departamento.mercadolibre.com.ar/MLA-1101328741-departamento-en-alquiler-alberdi-un-dormitorio-_JM,"Departamento En Alquiler, Alberdi, Un Dormitorio",Departamento,13500.0,ARS,0,2
13,2021_10_25,-31.409565,-64.20198,https://departamento.mercadolibre.com.ar/MLA-1101704810-alquilo-departamento-1-dormitorios-alberdi-_JM,Alquilo Departamento 1 Dormitorios Alberdi,Departamento,16500.0,ARS,50,2
14,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1101744548-2-dorm-a-mts-parque-las-heras-honorarios-hasta-en-12-cuotas-_JM,2 Dorm A Mts Parque Las Heras - Honorarios Hasta En 12 Cuotas,Departamento,18500.0,ARS,50,4
15,2021_10_25,-31.359747,-64.25653,https://departamento.mercadolibre.com.ar/MLA-1101794065-villa-belgrano-alquiler-departamento-amoblado-_JM,Villa Belgrano Alquiler Departamento Amoblado,Departamento,120000.0,ARS,100,4
16,2021_10_25,-31.43253,-64.189995,https://departamento.mercadolibre.com.ar/MLA-1101940870-alquiler-2-dormitorios-pasaje-espana-1400-_JM,Alquiler - 2 Dormitorios - Pasaje España 1400,Departamento,23800.0,ARS,60,2
17,2021_10_25,-31.424286,-64.17951,https://departamento.mercadolibre.com.ar/MLA-1101946874-alquiler-1-dormitorio-rondeau-500-_JM,Alquiler - 1 Dormitorio - Rondeau 500,Departamento,16800.0,ARS,45,1
18,2021_10_25,-31.425516,-64.189674,https://departamento.mercadolibre.com.ar/MLA-1102026816-dptos-nva-cba-1-dorm-c-balcon-coch-opcional-_JM,Dptos Nva Cba 1 Dorm C/ Balcon. Coch Opcional,Departamento,33000.0,ARS,64,2
19,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1102065107-departamento-amoblado-de-3-dormitorios-en-alquiler-en-milenica-ii-rodriguez-del-busto-_JM,Departamento Amoblado  De 3 Dormitorios En Alquiler En Milenica Ii. Rodriguez Del Busto.,Departamento,100000.0,ARS,0,4
20,2021_10_25,-31.399254,-64.26438,https://casa.mercadolibre.com.ar/MLA-1102100346-venta-casa-3-dorm-departamento-1-dorm-crenta-b-san-daniel-cordoba-_JM,Venta Casa 3 Dorm.  Departamento 1 Dorm. (c/renta) - Bº San Daniel - Córdoba,Casa,115000.0,USD,265,16
21,2021_10_25,-31.397072,-64.18824,https://departamento.mercadolibre.com.ar/MLA-1102137288-alquiler-dpto-en-cofico-_JM,Alquiler Dpto En Cofico,Departamento,19000.0,ARS,70,3
22,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1102487360-alquilo-departamento-un-dormitorio-asadores-alto-alberdi-av-colon-2429-_JM,Alquilo Departamento Un Dormitorio -asadores-alto Alberdi Av. Colon 2429,Departamento,18000.0,ARS,45,5
23,2021_10_25,-31.424288,-64.199135,https://departamento.mercadolibre.com.ar/MLA-1102551995-alquilo1-dormitorio-frente-balcon-tribunales-2-_JM,"Alquilo1 Dormitorio, Frente, Balcon, (tribunales 2)",Departamento,20000.0,ARS,40,0
24,2021_10_25,-34.598984,-58.42368,https://departamento.mercadolibre.com.ar/MLA-1102712715-alquiler-4-amb-luz-y-sol-torre-scordoba-y-gascon-_JM,Alquiler 4 Amb Luz Y Sol. Torre S/cordoba Y Gascon,Departamento,68000.0,ARS,76,4
25,2021_10_25,-31.35492,-64.31286,https://departamento.mercadolibre.com.ar/MLA-1103261605-duplex-2-dormitorios-en-alquiler-cuesta-colorada-_JM,Duplex 2 Dormitorios En Alquiler Cuesta Colorada,Departamento,29500.0,ARS,50,3
26,2021_10_25,-31.432816,-64.19069,https://departamento.mercadolibre.com.ar/MLA-1103267775-alquiler-departamento-1-dormitorio-ciudad-universitaria-_JM,Alquiler Departamento 1 Dormitorio Ciudad Universitaria,Departamento,18500.0,ARS,47,2
27,2021_10_25,-31.354462,-64.31235,https://departamento.mercadolibre.com.ar/MLA-1103268017-loft-en-alquiler-cuesta-colorada-_JM,Loft En Alquiler Cuesta Colorada,Departamento,14500.0,ARS,45,1
28,2021_10_25,-31.411444,-64.19471,https://departamento.mercadolibre.com.ar/MLA-1103418157-departamento-en-alquiler-temporario-cordoba-capital-_JM,Departamento En Alquiler Temporario Cordoba Capital,Departamento,2500.0,ARS,38,3
