,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-24.789173,-65.4033,https://departamento.mercadolibre.com.ar/MLA-1100145443-alquiler-temporario-de-departamento-en-salta-capital-_JM,Alquiler Temporario De Departamento En Salta Capital,Departamento,3000.0,ARS,64,2
1,2021_10_25,-24.770693,-65.44578,https://departamento.mercadolibre.com.ar/MLA-1100446461-alquiler-temporario-salta-_JM,Alquiler Temporario Salta,Departamento,4000.0,ARS,120,4
2,2021_10_25,-24.780119,-65.40406,https://departamento.mercadolibre.com.ar/MLA-1100798920-alquiler-temporario-en-san-lorenzo-salta-_JM,Alquiler Temporario En San Lorenzo Salta,Departamento,20000.0,ARS,1800,5
3,2021_10_25,-24.786528,-65.42402,https://casa.mercadolibre.com.ar/MLA-1101192567-alquiler-para-turismo-deparamento-en-el-corazon-de-salta-cap-_JM,Alquiler Para Turismo Deparamento En El Corazón De Salta Cap,Casa,5500.0,ARS,75,
4,2021_10_25,-24.785908,-65.43021,https://departamento.mercadolibre.com.ar/MLA-1101787021-alquilo-dpto-1-dormitorio-por-dia-_JM,Alquilo Dpto 1 Dormitorio Por Dia,Departamento,6500.0,ARS,56,2
5,2021_10_25,-32.93625,-60.65425,https://departamento.mercadolibre.com.ar/MLA-1102154410-departamento-monoambiente-alquilado-salta-2400-_JM,"Departamento Monoambiente, Alquilado, Salta 2400!!",Departamento,62000.0,USD,37,1
6,2021_10_25,-34.939228,-54.934387,https://departamento.mercadolibre.com.ar/MLA-1103099708-1-dormitorio-salt-lake-_JM,1 Dormitorio | Salt Lake,Departamento,650.0,USD,42,2
7,2021_10_25,-24.786198,-65.424,https://departamento.mercadolibre.com.ar/MLA-1103303729-calido-departamento-con-capacidad-hasta-4-personas-_JM,Calido Departamento Con Capacidad Hasta 4 Personas,Departamento,4300.0,ARS,55,1
8,2021_10_25,-24.779037,-65.412796,https://departamento.mercadolibre.com.ar/MLA-1103842266-apartamento-agustina-i-_JM,Apartamento Agustina I,Departamento,7500.0,ARS,54,2
9,2021_10_25,-24.790443,-65.42037,https://departamento.mercadolibre.com.ar/MLA-1104721668-departamento-excelente-ubicacion-en-salta-capital-_JM,"Departamento, Excelente Ubicación En Salta Capital",Departamento,3500.0,ARS,42,2
10,2021_10_25,-24.78549,-65.430275,https://departamento.mercadolibre.com.ar/MLA-1104746117-departamento-2-personas-_JM,Departamento 2 Personas ,Departamento,3000.0,ARS,47,1
11,2021_10_25,-24.787886,-65.418655,https://departamento.mercadolibre.com.ar/MLA-1104783466-monoambiente-zona-centro-pturistas-_JM,Monoambiente Zona Centro P/turistas,Departamento,3500.0,ARS,30,1
12,2021_10_25,-24.783842,-65.41855,https://departamento.mercadolibre.com.ar/MLA-1105603560-hermoso-departamento-de-1-dor-alquiler-amoblado-contrafrente-_JM,Hermoso Departamento De 1 Dor Alquiler Amoblado Contrafrente,Departamento,45000.0,ARS,55,2
13,2021_10_25,-24.774939,-65.409836,https://departamento.mercadolibre.com.ar/MLA-1105605620-sofia-salta-alquiler-temporario-_JM,Sofia Salta Alquiler Temporario,Departamento,3500.0,ARS,50,3
14,2021_10_25,-24.774939,-65.409836,https://departamento.mercadolibre.com.ar/MLA-1105644508-sofia-salta-alquiler-temporario-monoambientes-_JM,Sofia Salta Alquiler Temporario Monoambientes,Departamento,2500.0,ARS,25,1
15,2021_10_25,-24.779778,-65.40612,https://departamento.mercadolibre.com.ar/MLA-1105939635-departamento-nuevo-en-salta-la-linda-excelente-ubicacion-_JM,Departamento Nuevo En Salta La Linda! Excelente Ubicación,Departamento,3000.0,ARS,33.6,2
16,2021_10_25,-24.790035,-65.40621,https://departamento.mercadolibre.com.ar/MLA-1106011315-hermoso-departamento-en-microcentro-salteno-_JM,Hermoso Departamento En Microcentro Salteño,Departamento,4000.0,ARS,42,2
17,2021_10_25,-24.79148,-65.41491,https://departamento.mercadolibre.com.ar/MLA-1106024586-torre-pellegrini-departamentos-de-1-y-3-dormitorios-amoblado-_JM,Torre Pellegrini Departamentos De 1 Y 3 Dormitorios Amoblado,Departamento,45000.0,ARS,40,2
18,2021_10_25,-24.778131,-65.41912,https://departamento.mercadolibre.com.ar/MLA-1106411369-departamento-necochea-salta-capital-_JM,Departamento Necochea - Salta (capital),Departamento,3300.0,ARS,120,5
19,2021_10_25,-24.791477,-65.415,https://departamento.mercadolibre.com.ar/MLA-1106708375-torre-pellegrini-departamento-amoblado-de-3-dormitorios-_JM,Torre Pellegrini Departamento Amoblado De 3 Dormitorios,Departamento,60000.0,ARS,80,4
20,2021_10_25,-24.758837,-65.39375,https://departamento.mercadolibre.com.ar/MLA-1106781303-alquiler-temporario-_JM,Alquiler Temporario,Departamento,3000.0,ARS,280,5
21,2021_10_25,-24.781206,-65.42622,https://departamento.mercadolibre.com.ar/MLA-1107381559-departamento-alquiler-a-estrenar-de-monoambiente-_JM,Departamento Alquiler A Estrenar De Monoambiente,Departamento,26000.0,ARS,55,1
22,2021_10_25,,,https://departamento.mercadolibre.com.ar/MLA-1107678636-departamento-centrico-muy-amplio-y-luminoso-_JM,Departamento Centrico Muy Amplio Y Luminoso,Departamento,4500.0,ARS,40,1
23,2021_10_25,-24.776188,-65.39548,https://departamento.mercadolibre.com.ar/MLA-1108308404-departamento-temporario-_JM,Departamento Temporario,Departamento,3000.0,ARS,80,2
24,2021_10_25,-24.771376,-65.40645,https://departamento.mercadolibre.com.ar/MLA-1108310654-departamento-de-1-dor-_JM,Departamento De 1 Dor,Departamento,25000.0,ARS,48,2
