,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-41.16953,-71.43849,https://departamento.mercadolibre.com.ar/MLA-1100100746-deptoen-bariloche-cerro-catedral-_JM,"Depto.en Bariloche, Cerro Catedral",Departamento,6000.0,ARS,60,3
1,2021_10_25,-41.086212,-71.185814,https://departamento.mercadolibre.com.ar/MLA-1100201672-sobre-el-huapi-loft-alquiler-dpto-en-villa-huapi-bariloche-_JM,Sobre El Huapi Loft - Alquiler Dpto En Villa Huapi Bariloche,Departamento,7900.0,ARS,52,1
2,2021_10_25,-41.128075,-71.38077,https://inmueble.mercadolibre.com.ar/MLA-1100254428-depto-amplio-para-hasta-5-personas-_JM,Depto. Amplio Para Hasta 5 Personas,Otro inmueble,6800.0,ARS,100,
3,2021_10_25,-41.13429,-71.3116,https://departamento.mercadolibre.com.ar/MLA-1100298644-monoambiente-con-bano-y-cocina-completo-_JM,Monoambiente Con Baño Y Cocina Completo,Departamento,4200.0,ARS,28,1
4,2021_10_25,-41.065308,-71.45783,https://departamento.mercadolibre.com.ar/MLA-1100370772-alquiler-turistico-bus-boutique-bariloche-_JM,"Alquiler Turistico Bus Boutique, Bariloche",Departamento,5500.0,ARS,550,1
5,2021_10_25,-41.16942,-71.440216,https://departamento.mercadolibre.com.ar/MLA-1100414392-excelente-monoambiente-en-cerro-catedral-_JM,Excelente Monoambiente En Cerro Catedral. ,Departamento,8000.0,ARS,34,1
6,2021_10_25,-41.13517,-71.29419,https://departamento.mercadolibre.com.ar/MLA-1100590962-monoambiente-departamento-turistico-bariloche-_JM,Monoambiente - Departamento Turistico Bariloche,Departamento,4000.0,ARS,30,1
7,2021_10_25,-41.132347,-71.353676,https://departamento.mercadolibre.com.ar/MLA-1100776392-alojamiento-con-vista-al-lago-_JM,Alojamiento Con Vista Al Lago,Departamento,8000.0,ARS,65,3
8,2021_10_25,-41.069027,-71.4817,https://inmueble.mercadolibre.com.ar/MLA-1100933025-alquilo-dpto-barilochetiempo-compartido-_JM,"Alquilo Dpto Bariloche,tiempo Compartido",Tiempo compartido,41000.0,ARS,65,2
9,2021_10_25,-41.13861,-71.30091,https://departamento.mercadolibre.com.ar/MLA-1100966352-departamento-en-bariloche-centro-para-4-con-terracita-_JM,Departamento En Bariloche Centro Para 4 Con Terracita,Departamento,5500.0,ARS,60,1
10,2021_10_25,-41.133842,-71.31149,https://departamento.mercadolibre.com.ar/MLA-1101014564-departamento-en-bariloche-con-vista-al-lago-nahuel-huapi-_JM,Departamento En Bariloche Con Vista Al Lago Nahuel Huapi,Departamento,4300.0,ARS,30,1
11,2021_10_25,-41.122337,-71.385376,https://departamento.mercadolibre.com.ar/MLA-1101087993-alquiler-departamento-turistico-diario-bariloche-en-complejo-_JM,Alquiler Departamento Turístico Diario Bariloche En Complejo,Departamento,5500.0,ARS,36,1
12,2021_10_25,-41.133495,-71.3085,https://departamento.mercadolibre.com.ar/MLA-1101145303-centro-vista-unica-excelente-ubicacion--_JM,"Centro ! Vista Unica , Excelente Ubicación !!",Departamento,6000.0,ARS,40,2
13,2021_10_25,-41.133465,-71.30847,https://departamento.mercadolibre.com.ar/MLA-1101150330-centro-vista-unica-excelente-ubicacion-_JM,Centro ! Vista Unica ! Excelente Ubicación!,Departamento,6000.0,ARS,39,2
14,2021_10_25,-41.139534,-71.31472,https://departamento.mercadolibre.com.ar/MLA-1101344257-venta-departamento-2-ambientes-centro-de-bariloche-ideal-renta-temporal-_JM,Venta Departamento 2 Ambientes Centro De Bariloche Ideal Renta Temporal,Departamento,105000.0,USD,72,2
15,2021_10_25,-41.134586,-71.3114,https://departamento.mercadolibre.com.ar/MLA-1101651056-san-martin-100-centro-bariloche-_JM,"San Martin 100, Centro, Bariloche.",Departamento,4000.0,ARS,22,1
