,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-34.683422,-58.338837,https://departamento.mercadolibre.com.ar/MLA-1100097972-oportunidad-alquiler-para-una-sola-persona-dueno-directo-_JM,Oportunidad Alquiler Para Una Sola Persona Dueño Directo,Departamento,14800.0,ARS,30,2
1,2021_10_25,-25.597164,-54.578598,https://departamento.mercadolibre.com.ar/MLA-1100105218-alquilo-departamento-por-dia-_JM,Alquilo Departamento Por Día ,Departamento,2500.0,ARS,40,1
2,2021_10_25,-37.12713,-56.86431,https://departamento.mercadolibre.com.ar/MLA-1100106700-alquilo-departamento-sobre-la-playa-frente-al-mar-pinamar-_JM,Alquilo Departamento Sobre La Playa Frente Al Mar Pinamar,Departamento,10000.0,ARS,90,3
3,2021_10_25,-25.597485,-54.576508,https://departamento.mercadolibre.com.ar/MLA-1100110151-departamento-ph-2-ambientes-1-bano-_JM,"Departamento Ph, 2 Ambientes, 1 Baño",Departamento,35000.0,USD,37,2
4,2021_10_25,-34.60451,-58.39089,https://departamento.mercadolibre.com.ar/MLA-1100131827-alquilo-habitacion-compartida-_JM,Alquilo Habitacion Compartida,Departamento,6000.0,ARS,100,4
5,2021_10_25,-25.59837,-54.574272,https://departamento.mercadolibre.com.ar/MLA-1100261850-departamento-centrico-turismo-_JM,Departamento Centrico Turismo,Departamento,2800.0,ARS,86,3
6,2021_10_25,-25.61136,-54.571434,https://departamento.mercadolibre.com.ar/MLA-1100379124-alquiler-por-dia-_JM,Alquiler Por Día ,Departamento,3000.0,ARS,120,2
7,2021_10_25,-25.600147,-54.574757,https://casa.mercadolibre.com.ar/MLA-1100566417-alquiler-temporario-casa-para-5-hasta-9-personas-_JM,Alquiler Temporario- Casa Para 5 Hasta 9 Personas.,Casa,3500.0,ARS,60,
8,2021_10_25,-34.75023,-58.40186,https://departamento.mercadolibre.com.ar/MLA-1100601529-alquiler-departamento-2-amb-1-dormitorio-lomas-de-zamora-_JM,Alquiler Departamento 2 Amb 1 Dormitorio  Lomas  De Zamora,Departamento,45000.0,ARS,48,2
9,2021_10_25,-31.424543,-64.17655,https://departamento.mercadolibre.com.ar/MLA-1100608948-1-dorm-nueva-cordoba-trejo-y-ambrosio-olmos-_JM,1 Dorm - Nueva Cordoba - Trejo Y Ambrosio Olmos,Departamento,17000.0,ARS,48,2
