,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_13,-32.889973,-68.84584,https://departamento.mercadolibre.com.ar/MLA-1100371552-alquiler-turistico-maipu-mendoza-ruta-del-vino-temporal-_JM,Alquiler Turístico Maipu-mendoza Ruta Del Vino. Temporal,Departamento,1999.0,ARS,80,3
1,2021_10_13,-32.932804,-68.84577,https://departamento.mercadolibre.com.ar/MLA-1100449039-departamento-alquilado-a-cuadras-plaza-godoy-cruz-_JM,Departamento Alquilado A Cuadras Plaza Godoy Cruz,Departamento,48000.0,USD,136,2
2,2021_10_13,-34.5757,-58.48155,https://departamento.mercadolibre.com.ar/MLA-1100514272-mendoza-4900-alquiler-monoamb-divisible-ccochera-_JM,Mendoza 4900 - Alquiler - Monoamb Divisible C/cochera,Departamento,37000.0,ARS,38,1
3,2021_10_13,-32.89493,-68.84468,https://departamento.mercadolibre.com.ar/MLA-1100538432-departamento-temporario-microcentro-mendoza-turismoparejas-_JM,Departamento Temporario Microcentro Mendoza. Turismo.parejas,Departamento,2999.0,ARS,25,2
4,2021_10_13,-32.890812,-68.84538,https://departamento.mercadolibre.com.ar/MLA-1101194230-depto-en-el-corazon-de-la-ciudad-de-mendoza-4500-por-noche-_JM,Depto En El Corazón De La Ciudad De Mendoza. $4500 Por Noche,Departamento,4500.0,ARS,50,2
5,2021_10_13,-32.91067,-68.792725,https://departamento.mercadolibre.com.ar/MLA-1101795086-departamento-totalmente-amoblado-aledano-al-shopping-_JM,Departamento Totalmente Amoblado Aledaño Al Shopping,Departamento,43000.0,ARS,60,3
6,2021_10_13,-32.869167,-68.85939,https://departamento.mercadolibre.com.ar/MLA-1101804311-depto-en-alquiler-_JM,Depto En Alquiler,Departamento,19000.0,ARS,57,3
7,2021_10_13,-32.8513,-68.84139,https://departamento.mercadolibre.com.ar/MLA-1101826315-departamento-amplio-luminoso-y-amplias-vistas-_JM,Departamento Amplio Luminoso Y Amplias Vistas,Departamento,47000.0,ARS,100,3
8,2021_10_13,-32.884712,-68.85979,https://departamento.mercadolibre.com.ar/MLA-1101842476-departamento-en-mendoza-con-cochera-alquiler-temporal-_JM,Departamento En Mendoza Con Cochera (alquiler Temporal),Departamento,5000.0,ARS,75,3
9,2021_10_13,-32.92483,-68.83106,https://departamento.mercadolibre.com.ar/MLA-1102050899-hermoso-departamento-zona-tranquila-cerca-de-todo-en-mendoza-_JM,Hermoso Departamento Zona Tranquila Cerca De Todo En Mendoza,Departamento,2200.0,ARS,45,2
10,2021_10_13,-34.99073,-67.51244,https://departamento.mercadolibre.com.ar/MLA-1102180211-alquiler-temporario-_JM,Alquiler Temporario ,Departamento,1500.0,ARS,42,3
11,2021_10_13,-35.148518,-70.08199,https://departamento.mercadolibre.com.ar/MLA-1102426354-departamento-triplex-valle-de-las-lenas-edificio-corinto-_JM,Departamento Triplex Valle De Las Leñas Edificio Corinto,Departamento,17000.0,ARS,65,3
12,2021_10_13,-32.890438,-68.83939,https://departamento.mercadolibre.com.ar/MLA-1102609049-departamento-centrico-km-0-de-mendoza-capital-_JM,Departamento Céntrico Km 0 De Mendoza Capital ,Departamento,5000.0,ARS,75,3
13,2021_10_13,-32.881332,-68.83014,https://departamento.mercadolibre.com.ar/MLA-1102730175-departamento-en-el-centro-de-mendoza-_JM,Departamento En El Centro De Mendoza,Departamento,4000.0,ARS,54,3
14,2021_10_13,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1102784865-mendoza-400-1-dormitorio-con-balcon-_JM,Mendoza 400 1 Dormitorio Con Balcón,Departamento,14000.0,ARS,350,2
