,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-32.94455,-60.641098,https://departamento.mercadolibre.com.ar/MLA-1100124320-amplio-departamento-de-categoria-_JM,Amplio Departamento De Categoría,Departamento,53000.0,ARS,141,5
1,2021_10_25,-32.945797,-60.642567,https://departamento.mercadolibre.com.ar/MLA-1100167458-departamento-de-un-dormitorio-rosario-_JM,Departamento De Un Dormitorio - Rosario,Departamento,20000.0,ARS,35,2
2,2021_10_25,-32.949047,-60.665646,https://departamento.mercadolibre.com.ar/MLA-1100178314-alquiler-9-de-julio-y-suipacha-_JM,Alquiler 9 De Julio Y Suipacha,Departamento,12000.0,ARS,35,1
3,2021_10_25,-32.936977,-60.670105,https://departamento.mercadolibre.com.ar/MLA-1100485440--alquiler-temporario-categoria-y-servicios-_JM,-alquiler Temporario- Categoría Y Servicios!,Departamento,39900.0,ARS,28,1
4,2021_10_25,-32.95406,-60.67449,https://departamento.mercadolibre.com.ar/MLA-1100488998-cafferata-1932-01-04-departamento-1-dormitorio-_JM,Cafferata 1932 01-04 - Departamento 1 Dormitorio,Departamento,8500.0,ARS,22,2
5,2021_10_25,-32.93956,-60.65003,https://departamento.mercadolibre.com.ar/MLA-1100618443-tucuman-2041-10-04-_JM,Tucuman 2041 10 04,Departamento,22000.0,ARS,28,1
6,2021_10_25,-32.95314,-60.650658,https://departamento.mercadolibre.com.ar/MLA-1100810218-venta-monoambiente-en-pool-de-alquiler-temporario-_JM,Venta Monoambiente En Pool De Alquiler Temporario,Departamento,57000.0,USD,38,1
7,2021_10_25,-32.91462,-60.681725,https://departamento.mercadolibre.com.ar/MLA-1100816773-departamento-arroyito-_JM,Departamento - Arroyito,Departamento,15000.0,ARS,33,2
8,2021_10_25,-32.95314,-60.650658,https://departamento.mercadolibre.com.ar/MLA-1100820215-monoambiente-venta-ideal-alquiler-temporario-_JM,Monoambiente Venta Ideal Alquiler Temporario,Departamento,54000.0,USD,38,1
9,2021_10_25,-32.969563,-60.631786,https://departamento.mercadolibre.com.ar/MLA-1100889966-27-de-febrero-272-monoambiente-_JM,27 De Febrero 272  Monoambiente,Departamento,13000.0,ARS,30,1
10,2021_10_25,-32.962444,-60.632713,https://departamento.mercadolibre.com.ar/MLA-1100915948-departamento-1-dormitorio-en-ituzaingo-400-_JM,Departamento 1 Dormitorio En Ituzaingo 400,Departamento,18000.0,ARS,40,2
11,2021_10_25,-32.949104,-60.671806,https://departamento.mercadolibre.com.ar/MLA-1101023984-monoambiente-en-alquiler-iriondo-al-1400-zona-uca-_JM,Monoambiente En Alquiler Iriondo Al 1400 Zona Uca,Departamento,12000.0,ARS,35,1
12,2021_10_25,-32.935776,-60.650517,https://departamento.mercadolibre.com.ar/MLA-1101324969-alquiler-loft-1-dormitorio-calidad-premium-amueblado-rosario-centro-_JM,"Alquiler - Loft 1 Dormitorio - Calidad Premium - Amueblado. Rosario, Centro.",Departamento,70000.0,ARS,90,2
13,2021_10_25,-32.947002,-60.6347,https://departamento.mercadolibre.com.ar/MLA-1101355191-dpto-1-dormitorio-interno-cordoba-862-04-02-rosario-_JM,"Dpto 1 Dormitorio, Interno, Córdoba 862 04 02, Rosario",Departamento,16000.0,ARS,45,2
14,2021_10_25,-32.93743,-60.675297,https://departamento.mercadolibre.com.ar/MLA-1101770374-1-dormitorio-nuevo-san-lorenzo-castellanos-_JM,1 Dormitorio Nuevo - San Lorenzo / Castellanos,Departamento,20000.0,ARS,43,2
15,2021_10_25,-32.956364,-60.639877,https://departamento.mercadolibre.com.ar/MLA-1101891572-montevideo-1056-03-03-dto-1-dormitorio-_JM,Montevideo 1056 03-03 - Dto 1 Dormitorio,Departamento,14000.0,ARS,26,2
16,2021_10_25,-32.944042,-60.646408,https://departamento.mercadolibre.com.ar/MLA-1101907285-departamento-espana-700-ideal-alquiler-temporario-_JM,Departamento España 700 Ideal Alquiler Temporario,Departamento,82000.0,USD,40,2
17,2021_10_25,-32.9379,-60.641914,https://departamento.mercadolibre.com.ar/MLA-1101981174-departamento-monoambiente-en-rosario-excelente-ubicacion-_JM,"Departamento Monoambiente En Rosario, Excelente Ubicación",Departamento,4000.0,ARS,41,1
18,2021_10_25,-32.95007,-60.65208,https://departamento.mercadolibre.com.ar/MLA-1101985728-departamento-temporario-centro-rosario-1-dormitorio-_JM,Departamento Temporario Centro Rosario 1 Dormitorio,Departamento,3000.0,ARS,45,2
19,2021_10_25,-32.946655,-60.64287,https://inmueble.mercadolibre.com.ar/MLA-1102035104-rioja-1418-0808-29500-dpto-5-ambientes-uso-comercialadministrativo-alquiler-_JM,Rioja 1418 0808 - 29.500 - Dpto 5 Ambientes - Uso Comercial/administrativo - Alquiler,Oficina,29500.0,ARS,81,
20,2021_10_25,-32.95809,-60.648262,https://departamento.mercadolibre.com.ar/MLA-1102087725-venta-departamento-alquilado-monoambiente-roca-1800-piso-alto-abasto-rosario-_JM,Venta Departamento Alquilado Monoambiente Roca 1800 Piso Alto - Abasto - Rosario,Departamento,47000.0,USD,28,1
21,2021_10_25,-32.926395,-60.743984,https://departamento.mercadolibre.com.ar/MLA-1102105376-alquiler-excelente-departamento-fisherton-golf-3-dormitorios-ccochera-110m2-_JM,Alquiler  - Excelente Departamento Fisherton Golf 3 Dormitorios C/cochera -110m2,Departamento,110000.0,ARS,125,8
22,2021_10_25,-32.93625,-60.65425,https://departamento.mercadolibre.com.ar/MLA-1102154410-departamento-monoambiente-alquilado-salta-2400-_JM,"Departamento Monoambiente, Alquilado, Salta 2400!!",Departamento,62000.0,USD,37,1
23,2021_10_25,-32.94888,-60.64579,https://departamento.mercadolibre.com.ar/MLA-1102161080-san-juan-1500-departamento-monoambiente-en-alquiler-en-rosario-_JM,San Juan 1500 - Departamento Monoambiente En Alquiler En Rosario,Departamento,19000.0,ARS,30,1
24,2021_10_25,-32.94268,-60.635857,https://departamento.mercadolibre.com.ar/MLA-1102179458-monoambiente-apto-oficinanegocioconsultorio--_JM,Monoambiente -apto Oficina/negocio/consultorio-,Departamento,10000.0,ARS,17,1
25,2021_10_25,-32.91457,-60.754112,https://departamento.mercadolibre.com.ar/MLA-1102253370-departamento-de-3-dormitorios-en-alquiler-aldea-fisherton-_JM,Departamento De 3 Dormitorios En Alquiler Aldea Fisherton,Departamento,120000.0,ARS,140,4
26,2021_10_25,-32.935913,-60.64698,https://departamento.mercadolibre.com.ar/MLA-1102413604-departamento-centro-_JM,Departamento - Centro,Departamento,27000.0,ARS,28,2
27,2021_10_25,-32.96754,-60.628674,https://departamento.mercadolibre.com.ar/MLA-1102487378-depto-1-dormitorio-rep-sexta-necochea-2300-_JM,Depto. 1 Dormitorio Rep. Sexta - Necochea 2300,Departamento,18000.0,ARS,38,2
28,2021_10_25,-32.9492,-60.652752,https://departamento.mercadolibre.com.ar/MLA-1102525343-monoambientes-centricos-ideales-para-renta-ciencias-economicas-_JM,Monoambientes Centricos Ideales Para Renta Ciencias Economicas,Departamento,43000.0,USD,26,1
29,2021_10_25,-32.847565,-60.707703,https://departamento.mercadolibre.com.ar/MLA-1102676534-duplex-en-alquiler-2-dormitorios-granadero-baigorria-_JM,Duplex En Alquiler - 2 Dormitorios - Granadero Baigorria,Departamento,30000.0,ARS,64,3
30,2021_10_25,-32.98015,-60.64092,https://departamento.mercadolibre.com.ar/MLA-1102717348-departamento-tiro-suizo-_JM,Departamento - Tiro Suizo,Departamento,25000.0,ARS,70,5
31,2021_10_25,-32.94834,-60.640327,https://departamento.mercadolibre.com.ar/MLA-1102776560-departamento-tres-dormitorios-centro-amplio-opcion-cochera-_JM,Departamento Tres Dormitorios Centro Amplio Opción Cochera,Departamento,36000.0,ARS,100,5
32,2021_10_25,-32.93757,-60.677456,https://departamento.mercadolibre.com.ar/MLA-1103082216-departamento-de-tres-dormitorios-en-alquiler-rosario-_JM,Departamento De Tres Dormitorios En Alquiler Rosario,Departamento,59000.0,ARS,85,4
33,2021_10_25,-32.935776,-60.650517,https://departamento.mercadolibre.com.ar/MLA-1103133806-departamento-pichincha-_JM,Departamento - Pichincha,Departamento,70000.0,ARS,59,4
34,2021_10_25,-32.952682,-60.636887,https://departamento.mercadolibre.com.ar/MLA-1103251651-departamento-pb-cocina-separada-amplio-edificio-con-jardin-_JM,Departamento Pb. Cocina Separada. Amplio. Edificio Con Jardín.,Departamento,19500.0,ARS,45,3
35,2021_10_25,-32.875988,-60.68848,https://departamento.mercadolibre.com.ar/MLA-1103261176-espectacular-departamento-con-vista-al-rio-en-barrio-martin-_JM,Espectacular Departamento Con Vista Al Rio En Barrio Martin.,Departamento,1000.0,USD,182,4
36,2021_10_25,-32.949158,-60.6525,https://departamento.mercadolibre.com.ar/MLA-1103291451-departamento-centro-alquilado-_JM,Departamento - Centro Alquilado,Departamento,42000.0,USD,30,1
37,2021_10_25,-32.94204,-60.663258,https://departamento.mercadolibre.com.ar/MLA-1103295733-amplio-de-dos-dormitorios-con-dependencia-mas-cochera-_JM,Amplio De Dos Dormitorios Con Dependencia Mas Cochera,Departamento,40000.0,ARS,97,4
38,2021_10_25,-32.937717,-60.647625,https://departamento.mercadolibre.com.ar/MLA-1103325837-alquiler-departamento-2-dormitorios-_JM,Alquiler Departamento 2 Dormitorios,Departamento,30000.0,ARS,70,3
39,2021_10_25,-32.95765,-60.635456,https://departamento.mercadolibre.com.ar/MLA-1103332413-alquiler-departamento-2-dormitorios-_JM,Alquiler Departamento 2 Dormitorios,Departamento,35000.0,ARS,74,3
40,2021_10_25,-32.94075,-60.653767,https://departamento.mercadolibre.com.ar/MLA-1103399439-apart-departamentos-temporarios-a-metros-de-zona-pichincha-y-bv-orono-_JM,Apart Departamentos Temporarios A Metros De Zona Pichincha Y Bv. Oroño.,Departamento,74000.0,ARS,30,0
41,2021_10_25,-32.951588,-60.65685,https://departamento.mercadolibre.com.ar/MLA-1103588635-departamento-un-dormitorio-barrio-parque-impecable-_JM,Departamento Un Dormitorio Barrio Parque Impecable,Departamento,23000.0,ARS,45,2
42,2021_10_25,-32.953964,-60.647255,https://departamento.mercadolibre.com.ar/MLA-1103655762-dos-dormitorios-centro-facultades-impecable-doble-balcon-amplio-_JM,Dos Dormitorios Centro Facultades Impecable Doble Balcón Amplio,Departamento,31000.0,ARS,80,4
43,2021_10_25,-32.936928,-60.680237,https://departamento.mercadolibre.com.ar/MLA-1103771214-venta-monoambiente-con-cochera-alquilado-altura-de-santa-fe-y-avellaneda-oliden-al-4200-_JM,Venta Monoambiente Con Cochera Alquilado Altura De Santa Fe Y Avellaneda Oliden Al 4200,Departamento,47000.0,USD,37,1
44,2021_10_25,-32.949997,-60.630394,https://departamento.mercadolibre.com.ar/MLA-1103850382-departamento-de-2-dormitorios-con-cochera-en-barrio-martin-_JM,Departamento De 2 Dormitorios Con Cochera En Barrio Martin,Departamento,29400.0,ARS,65,3
45,2021_10_25,-32.942898,-60.672222,https://departamento.mercadolibre.com.ar/MLA-1104052548-departamento-echesortu-cochera-estrenar-balcon-gas-_JM,Departamento - Echesortu - Cochera - Estrenar - Balcon - Gas,Departamento,32000.0,ARS,46,3
46,2021_10_25,-32.943436,-60.671055,https://departamento.mercadolibre.com.ar/MLA-1104054536-departamento-echesortu-estrenar-loft-gas-_JM,Departamento - Echesortu - Estrenar - Loft - Gas,Departamento,15000.0,ARS,28,1
47,2021_10_25,-32.943436,-60.671055,https://departamento.mercadolibre.com.ar/MLA-1104061073-departamento-echesortu-estrenar-balcon-cochera-_JM,Departamento - Echesortu - Estrenar - Balcón - Cochera,Departamento,48000.0,ARS,76,4
48,2021_10_25,-32.946625,-60.678074,https://departamento.mercadolibre.com.ar/MLA-1104115008-alsina-1300-departamento-monoambiente-en-alquiler-en-rosario-_JM,Alsina 1300 - Departamento Monoambiente En Alquiler En Rosario,Departamento,16000.0,ARS,33,1
49,2021_10_25,-32.958702,-60.693043,https://departamento.mercadolibre.com.ar/MLA-1104143804-departamento-terraza-con-parrillero-zona-centro-_JM,Departamento - Terraza Con Parrillero - Zona Centro,Departamento,23000.0,ARS,38,2
50,2021_10_25,-32.93894,-60.646923,https://departamento.mercadolibre.com.ar/MLA-1104149601-departamento-monoambiente-catamarca-1600-centro-_JM,Departamento Monoambiente - Catamarca 1600 - Centro,Departamento,14000.0,ARS,30,1
51,2021_10_25,-32.96153,-60.62722,https://departamento.mercadolibre.com.ar/MLA-1104175505-duplex-1-dormitorio-_JM,Duplex 1 Dormitorio,Departamento,20000.0,ARS,50,2
52,2021_10_25,-32.947376,-60.669044,https://departamento.mercadolibre.com.ar/MLA-1104176859-3-de-febrero-3200-departamento-monoambiente-en-alquiler-rosario-_JM,3 De Febrero 3200 - Departamento Monoambiente En Alquiler - Rosario.,Departamento,15000.0,ARS,30,1
53,2021_10_25,-32.968227,-60.638386,https://departamento.mercadolibre.com.ar/MLA-1104197655-27-de-febrero-730-2-dormitorios-a-estrenar-_JM,27 De Febrero 730. 2 Dormitorios A Estrenar,Departamento,39000.0,ARS,60,4
54,2021_10_25,-32.935173,-60.64708,https://departamento.mercadolibre.com.ar/MLA-1104343246-temporal-de-2-amb-con-balcon-cubierto-piso-2-contra-frente-_JM,Temporal De 2 Amb / Con Balcón Cubierto/ Piso 2/ Contra Frente,Departamento,36000.0,ARS,44,2
