,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2021_10_25,-54.839436,-68.370575,https://casa.mercadolibre.com.ar/MLA-1100246854-excelente-departamento-en-ushuaia-vista-al-canal-beagle-_JM,Excelente Departamento  En Ushuaia Vista Al  Canal Beagle,Casa,10000.0,ARS,60,
1,2021_10_25,-54.804024,-68.302986,https://departamento.mercadolibre.com.ar/MLA-1100666623-aunaisin-paz-centro-vintage-ushuaia-previaje-_JM,Aunaisin  Paz Centro Vintage Ushuaia Previaje,Departamento,5500.0,ARS,27,2
2,2021_10_25,-54.81238,-68.34817,https://departamento.mercadolibre.com.ar/MLA-1100916932-departamento-en-ushuaia-para-vacacionar-_JM,Departamento En Ushuaia Para Vacacionar,Departamento,5990.0,ARS,30,2
3,2021_10_25,-24.786528,-65.42402,https://casa.mercadolibre.com.ar/MLA-1101192567-alquiler-para-turismo-deparamento-en-el-corazon-de-salta-cap-_JM,Alquiler Para Turismo Deparamento En El Corazón De Salta Cap,Casa,5500.0,ARS,75,
4,2021_10_25,-54.80529,-68.30134,https://departamento.mercadolibre.com.ar/MLA-1101758391-ushuaia-loft-_JM,Ushuaia Loft,Departamento,7000.0,ARS,30,1
5,2021_10_25,-37.11117,-56.87337,https://departamento.mercadolibre.com.ar/MLA-1101935688-depto-en-alquiler-2-amb-con-coch-en-positive-tower-pinamar-_JM,Depto En Alquiler 2 Amb Con Coch En Positive Tower Pinamar,Departamento,6900.0,ARS,54,1
6,2021_10_25,-54.790916,-68.26944,https://departamento.mercadolibre.com.ar/MLA-1102662706-alquilo-departamento-amueblado-por-dia-kamshen-846-_JM,Alquilo Departamento Amueblado Por Día! Kamshen 846,Departamento,5000.0,ARS,43,2
7,2021_10_25,-54.810226,-68.34293,https://casa.mercadolibre.com.ar/MLA-1102846889-el-valor-depende-de-la-cantidad-persona-y-dia-2-dias-minimo-_JM,El Valor Depende De La Cantidad Persona Y Dia. 2 Días Mínimo,Casa,3500.0,ARS,40,
8,2021_10_25,-54.80191,-68.30295,https://departamento.mercadolibre.com.ar/MLA-1103687687-fideicomiso-de-3-ambientes-ushuaia-_JM,Fideicomiso De 3 Ambientes - Ushuaia,Departamento,184400.0,USD,83,3
9,2021_10_25,-54.80191,-68.30295,https://departamento.mercadolibre.com.ar/MLA-1103701553-fideicomiso-de-1-ambiente-ushuaia-_JM,Fideicomiso De 1 Ambiente - Ushuaia,Departamento,74500.0,USD,33,1
