numero,fecha,latitud,longitud,url,titulo,tipo de propiedad,precio,moneda,superficie,ambientes
0,2021_10_25,-34.596046,-58.392166,https://departamento.mercadolibre.com.ar/MLA-1100293298-alquiler-dto-2-12-ambientes-tipo-loft-recoleta-caba-_JM,Alquiler Dto. 2 1/2  Ambientes Tipo Loft Recoleta (caba),Departamento,47000.0,ARS,55,3
3,2021_10_25,-34.607365,-58.38204,https://departamento.mercadolibre.com.ar/MLA-1101149047-alquilerventa-departamento-zona-comercial-financiera-caba-_JM,Alquiler/venta Departamento Zona Comercial Financiera Caba,Departamento,50000.0,ARS,70,3
15,2021_10_25,-34.59108,-58.424892,https://departamento.mercadolibre.com.ar/MLA-1105509978-el-salvador-4500-1-amb-palermocaba-_JM,El Salvador 4500 - 1 Amb - Palermo/caba,Departamento,50000.0,ARS,35,1
20,2021_10_25,-34.648983,-58.527893,https://departamento.mercadolibre.com.ar/MLA-1106328154-departamento-en-alquiler-en-caba-_JM,Departamento En Alquiler En Caba,Departamento,42000.0,ARS,42,2
22,2021_10_25,-34.596897,-58.3741,https://departamento.mercadolibre.com.ar/MLA-1106413606-departamento-amoblado-retiro-caba-1-habitacion-41mts-_JM,Departamento Amoblado Retiro Caba: 1 Habitación 41mts,Departamento,40000.0,ARS,41,3
31,2021_10_25,-34.56674,-58.462452,https://departamento.mercadolibre.com.ar/MLA-1107894970-alquiler-3-ambientes-belgrano-caba-_JM,Alquiler 3 Ambientes Belgrano-caba,Departamento,55000.0,ARS,64,3
35,2021_10_25,-34.5938,-58.378506,https://departamento.mercadolibre.com.ar/MLA-1108637328-alquiler-temporario-dto-3-amb-plaza-s-martin-caba-_JM,Alquiler Temporario Dto 3 Amb - Plaza S. Martin - Caba,Departamento,60000.0,ARS,67,3
40,2021_10_25,-34.59686,-58.440876,https://departamento.mercadolibre.com.ar/MLA-1108748921-alquiler-departamento-dos-ambientes-villa-crespo-caba-_JM,Alquiler Departamento Dos Ambientes Villa Crespo Caba,Departamento,43000.0,ARS,40,2
44,2021_10_25,-34.63432,-58.478485,https://departamento.mercadolibre.com.ar/MLA-1109372374-alquiler-departamento-3-ambientesbalcon-floresta-caba-_JM,Alquiler Departamento 3 Ambientes+balcon Floresta Caba,Departamento,40000.0,ARS,60,3
46,2021_10_25,-34.568863,-58.492867,https://departamento.mercadolibre.com.ar/MLA-1109411975-alquiler-departamento-2-ambientes-en-villa-urquiza-caba-_JM,Alquiler Departamento 2 Ambientes En Villa Urquiza  Caba,Departamento,48000.0,ARS,46,0
55,2021_10_25,-34.59604,-58.385235,https://departamento.mercadolibre.com.ar/MLA-927786636-monoambiente-equipado-para-2-personas-av-santa-fe-1270-caba-_JM,Monoambiente Equipado Para 2 Personas Av Santa Fe 1270- Caba,Departamento,40000.0,ARS,23,1
